"datasetName","scientificName","acceptedScientificName","decimalLatitude","decimalLongitude","occurrenceStatus","country"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-23.639265,-46.627016,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-23.639253,-46.621747,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.322712,-42.579875,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-27.780262,-48.53917,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.310068,-42.497062,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.020556,-43.304444,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.402778,-43.198611,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.535861,-43.17725,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.369139,-42.496833,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-25.441944,-49.238889,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-21.684444,-42.893611,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-21.683056,-43.885278,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-22.5088534051515,-43.1784660501561,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-25.9,-48.6,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-26.98,-49.08,"PRESENT","Brazil"
"gbif","Alcantarea imperialis","Alcantarea imperialis (Carrière) Harms",-10.8339,-52.8731,"PRESENT","Brazil"
