N_Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies ;Sepal_length_cm ;Sepal_width_cm ;Petal_length_cm ;Petal_width_cm
A70;A59;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;6.6;2.9;4.6;1.3
A62;A84;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;6.0;2.7;5.1;1.6
A60;A78;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;6.7;3.0;5.0;1.7
A55;A63;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;6.0;2.2;4.0;1.0
A53;A57;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;6.3;3.3;4.7;1.6
A52;A54;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;5.5;2.3;4.0;1.3
A49;A13;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;4.8;3.0;1.4;0.1
A31;A8;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;5.0;3.4;1.5;0.2
A19;A23;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;4.6;3.6;1.0;0.2
A148;A148;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;6.9;3.1;5.1;2.3
A140;A118;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;7.7;3.8;6.7;2.2
A135;A103;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;7.1;3.0;5.9;2.1
A118;A101;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;6.3;3.3;6.0;2.5
A112;A135;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;6.1;2.6;5.6;1.4
A110;A129;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;6.4;2.8;5.6;2.1
