N_Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies;Sepal_length_cm ;Sepal_width_cm ;Petal_length_cm ;Petal_width_cm
;A15;Site1;48.935.966;-64.840.984;01/12/1929;Iris_setosa;5.8;4;1.2;
;A17;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;5.4;3.9;1.3;0.4
;A11;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;5.4;3.7;1.5;0.2
;A28;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.2;3.5;1.5;0.2
;A34;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.5;4.2;1.4;0.2
;A40;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.1;3.4;1.5;0.2
;A75;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;6.4;2.9;4.3;1.3
;A62;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.9;3;4.2;1.5
;A52;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;6.4;3.2;4.5;1.5
;A73;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;6.3;2.5;4.9;1.5
;A88;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;6.3;2.3;4.4;1.3
;A150;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;5.9;3;5.1;1.8
;A128;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;6.1;3;4.9;1.8
;A112;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;6.4;2.7;5.3;1.9
;A127;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;6.2;2.8;4.8;1.8
