N_Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies ;Sepal_length_cm ;Sepal_width_cm ;Petal_length_cm ;Petal_width_cm
A8;A39;Site1;48.935.966;-64.840.984;01/12/1929;Iris_setosa;4.4;3;1.3;0.2
A27;A47;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;5.1;3.8;1.6;0.2
A45;A1;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.1;3.5;1.4;0.2
A47;A7;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;4.6;3.4;1.4;0.3
A65;A93;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;5.8;2.6;4;1.2
A75;A74;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;6.1;2.8;4.7;1.2
A78;A83;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.8;2.7;3.9;1.2
A80;A89;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.6;3;4.1;1.3
A86;A58;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;4.9;2.4;3.3;1
A97;A91;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;5.5;2.6;4.4;1.2
A101;A102;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;5.8;2.7;5.1;1.9
A107;A120;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;6;2.2;5;1.5
A120;A107;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;4.9;2.5;4.5;1.7
A137;A109;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;6.7;2.5;5.8;1.8
A145;A133;Site3;48.329.837;-65.512.333;01/12/1929;Iris_virginica;6.4;2.8;5.6;2.2
